Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation;Webradio détectée;Indice trouvé;URL de détection
9741190A;Collège de Plateau Caillou;Collège;Public;3 avenue Blanche Pierson;BP 545;;97867;97415;Saint-Paul;974;28;04;;;0;0;0;02 62 55 45 25;02 62 55 56 63;https://etab.ac-reunion.fr/clg-plateau-caillou;ce.9741190a@ac-reunion.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;REP;0;19974956500016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13981;-21.021133900516794, 55.26730113396791;SANS OBJET;La Réunion;La Réunion;La Réunion;319927.5;7674536.5;EPSG:2975;;-21.021133900516794;55.26730113396791;Numéro de rue;1997-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740932V;;;;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST;Non;;
9741556Y;Lycée polyvalent privé Maison Blanche;Lycée;Privé;7 chemin Summer n°3;Le Guillaume;;97423;97415;Saint-Paul;974;28;04;;;1;1;0;02 62 33 88 33;02 62 27 41 24;https://ensemblescolairemaisonblanche.fr/;maisonblanche.lycee@orange.fr;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;;0;31755666000015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18938;-21.048064789109425, 55.226379382604684;CONTRAT D'ASSOCIATION TOUTES CLASSES;La Réunion;La Réunion;La Réunion;315706.8;7671508.2;EPSG:2975;;-21.048064789109425;55.226379382604684;Rue;2010-08-18;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;9740932V;;;;;;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST;Non;;
9740979W;Lycée polyvalent Jean Hinglo;Lycée;Public;2 rue des Sans-Soucis;BP 2021;;97825;97407;Le Port;974;28;04;;;1;1;1;02 62 71 19 00;02 62 71 19 01;https://etab.ac-reunion.fr/lyc-jean-hinglo;ce.9740979w@ac-reunion.fr;1;1;0;1;0;0;1;0;1;0;1;0;0;1;1;;1;19974079600016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3958;-20.949057105966464, 55.291966213775254;SANS OBJET;La Réunion;La Réunion;La Réunion;322406.2;7682543.7;EPSG:2975;;-20.949057105966464;55.291966213775254;Numéro de rue;1989-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;9740812P;;;;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST;Non;;
9740027L;Collège de la Ravine des Cabris;Collège;Public;98 chemin Sainte-Céline;;;97432;97416;Saint-Pierre;974;28;04;;;0;0;0;02 62 49 50 54;02 62 49 72 06;https://etab.ac-reunion.fr/clg-ravine-des-cabris;ce.9740027l@ac-reunion.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;REP;0;19974027500011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9440;-21.288499857914907, 55.46114754876427;SANS OBJET;La Réunion;La Réunion;La Réunion;340364.0;7645144.3;EPSG:2975;;-21.288499857914907;55.46114754876427;Numéro de rue;1965-11-24;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740027L;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Non;;
9741049X;Collège Henri Matisse;Collège;Public;Chemin Vilris;Ravine des Cabris;;97432;97416;Saint-Pierre;974;28;04;;;0;0;0;02 62 49 55 11;02 62 49 46 87;https://etab.ac-reunion.fr/clg-henri-matisse;ce.9741049x@ac-reunion.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;REP+;0;19974149700010;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1981;-21.298704833773687, 55.45027490036867;SANS OBJET;La Réunion;La Réunion;La Réunion;339247.0;7644003.5;EPSG:2975;;-21.298704833773687;55.45027490036867;Numéro de rue;1992-08-27;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740027L;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Non;;
9740952S;Lycée général et technologique Pierre Poivre;Lycée;Public;35 rue Hippolyte Foucque;BP 7;;97480;97412;Saint-Joseph;974;28;04;;;1;1;0;02 62 56 69 79;02 62 56 36 84;https://etab.ac-reunion.fr/lyc-pierre-poivre;ce.9740952s@ac-reunion.fr;1;0;0;0;0;1;0;1;1;0;1;0;0;0;1;;1;19974952400013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15041;-21.37458275430744, 55.62461869188439;SANS OBJET;La Réunion;La Réunion;La Réunion;357407.8;7635771.5;EPSG:2975;;-21.37458275430744;55.62461869188439;Numéro de rue;1987-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;9740952S;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-pierre-poivre/infos-pratiques/
9740472V;Lycée professionnel Patu de Rosemont;Lycée;Public;72 rue Joseph Hubert;BP 59;;97470;97410;Saint-Benoît;974;28;04;;;0;0;1;02 62 92 95 20;;https://etab.ac-reunion.fr/lyc-patu-de-rosemont/;ce.9740472v@ac-reunion.fr;1;1;1;1;0;0;0;0;1;0;0;0;0;1;1;;1;19974472300016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13640;-21.043445767756978, 55.716908280354694;SANS OBJET;La Réunion;La Réunion;La Réunion;366680.1;7672508.0;EPSG:2975;;-21.043445767756978;55.716908280354694;Numéro de rue;1970-05-27;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;9741233X;;;;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST;Oui;Mot-clé: web radio;https://etab.ac-reunion.fr/lyc-patu-de-rosemont/
9740934X;Lycée professionnel Paul Langevin;Lycée;Public;6 allée des Hibiscus;BP 80;;97480;97412;Saint-Joseph;974;28;04;;;0;0;1;02 62 56 69 20;02 62 56 69 21;https://etab.ac-reunion.fr/lyc-paul-langevin;ce.9740934x@ac-reunion.fr;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;;1;19974934200010;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9444;-21.381414822785775, 55.611152693318495;SANS OBJET;La Réunion;La Réunion;La Réunion;356018.2;7635002.9;EPSG:2975;;-21.381414822785775;55.611152693318495;Numéro de rue;1986-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;9740952S;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Non;;
9740037X;Collège Gaston Crochet;Collège;Public;22 rue Gaston Crochet;BP 3;;97431;97406;La Plaine-des-Palmistes;974;28;04;;;0;0;0;02 62 51 30 75;02 62 51 42 42;https://etab.ac-reunion.fr/clg-gaston-crochet;ce.9740037x@ac-reunion.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;REP;1;19974037400012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9107;-21.137412854368446, 55.62768091608149;SANS OBJET;La Réunion;La Réunion;La Réunion;357497.3;7662028.9;EPSG:2975;;-21.137412854368446;55.62768091608149;Numéro de rue;1965-11-24;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740083X;;;;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST;Non;;
9740083X;Collège Amiral Pierre Bouvet;Collège;Public;50 rue Auguste de Villèle;BP 190;;97470;97410;Saint-Benoît;974;28;04;;;0;0;0;02 62 92 97 51;02 62 92 97 70;https://etab.ac-reunion.fr/clg-amiral-bouvet;ce.9740083x@ac-reunion.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;REP+;1;19974083800016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4828;-21.04490310971959, 55.71872706153563;SANS OBJET;La Réunion;La Réunion;La Réunion;366870.4;7672348.2;EPSG:2975;;-21.04490310971959;55.71872706153563;Numéro de rue;1968-10-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740083X;;;;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST;Non;;
9740574F;Collège Paul Hermann;Collège;Public;180 rue Marius et Hary Leblond;;;97410;97416;Saint-Pierre;974;28;04;;;0;0;0;02 62 35 75 00;02 62 35 75 02;https://etab.ac-reunion.fr/clg-paul-hermann;ce.9740574f@ac-reunion.fr;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;REP+;1;19974574600016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9069;-21.33566788141962, 55.467574471887914;SANS OBJET;La Réunion;La Réunion;La Réunion;341081.6;7639929.0;EPSG:2975;;-21.33566788141962;55.467574471887914;Numéro de rue;1972-01-21;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740576H;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-paul-hermann/contact-et-plan-dacces/
9740012V;Collège Le Ruisseau;Collège;Public;67 rue Hubert Delisle;;;97421;97414;Saint-Louis;974;28;04;;;0;0;0;02 62 39 02 68;02 62 39 43 81;https://etab.ac-reunion.fr/clg-le-ruisseau;ce.9740012v@ac-reunion.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;19974012700014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15045;-21.256247050763815, 55.436339942527894;SANS OBJET;La Réunion;La Réunion;La Réunion;337754.7;7648689.6;EPSG:2975;;-21.256247050763815;55.436339942527894;Numéro de rue;1965-11-23;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740011U;;;;974005;BASSIN D'EDUCATION ET DE FORMATION SUD-O;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Non;;
9740652R;Collège Trois Mares;Collège;Public;75 rue montaigne;BP 463;;97839;97422;Le Tampon;974;28;04;;;0;0;0;02 62 57 99 89;02 62 57 99 80;https://etab.ac-reunion.fr/clg-trois-mares;ce.9740652r@ac-reunion.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;1;19974652000014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1006;-21.25960775941572, 55.50040047446631;SANS OBJET;La Réunion;La Réunion;La Réunion;344406.3;7648382.0;EPSG:2975;;-21.25960775941572;55.50040047446631;Numéro de rue;1975-04-24;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740620F;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Non;;
9740784J;Collège le Bernica;Collège;Public;Rue Gayet;BP 7;;97435;97415;Saint-Paul;974;28;04;;;0;0;0;02 62 22 78 01;02 62 55 52 16;https://etab.ac-reunion.fr/clg-le-bernica;ce.9740784j@ac-reunion.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;19974784100013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1983;-21.04760893216392, 55.27029517938635;SANS OBJET;La Réunion;La Réunion;La Réunion;320270.5;7671608.8;EPSG:2975;;-21.04760893216392;55.27029517938635;Rue;1979-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740932V;;;;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST;Non;;
9740091F;Collège Leconte de Lisle;Collège;Public;25 rue Leconte de Lisle;BP 96;;97450;97414;Saint-Louis;974;28;04;;;0;0;0;02 62 91 97 60;02 62 26 20 22;https://etab.ac-reunion.fr/clg-leconte-de-lisle;ce.9740091f@ac-reunion.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;REP;1;19974091100011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8675;-21.274360180227163, 55.41464365979838;SANS OBJET;La Réunion;La Réunion;La Réunion;335523.2;7646661.9;EPSG:2975;;-21.274360180227163;55.41464365979838;Numéro de rue;1969-01-27;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9741189Z;;;;974005;BASSIN D'EDUCATION ET DE FORMATION SUD-O;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Non;;
9741044S;Collège les Mascareignes;Collège;Public;3 chemin du Case;Domenjod;;97490;97411;Saint-Denis;974;28;04;;;0;0;0;02 62 97 79 20;02 62 53 95 94;https://etab.ac-reunion.fr/clg-les-mascareignes;ce.9741044s@ac-reunion.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;1;19974144800013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13986;-20.91203399802385, 55.50373446933995;SANS OBJET;La Réunion;La Réunion;La Réunion;344390.7;7686862.4;EPSG:2975;;-20.91203399802385;55.50373446933995;Numéro de rue;1991-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9741260B;;;;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-les-mascareignes/acces/
9741233X;Lycée polyvalent Nelson Mandela;Lycée;Public;69 chemin Pinguet;BP 123;;97470;97410;Saint-Benoît;974;28;04;;;0;1;1;02 62 92 96 81;02 62 92 98 09;http://lycee-mandela.fr;ce.9741233x@ac-reunion.fr;1;0;1;1;0;0;0;0;1;0;1;0;0;1;1;;1;19974976300017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19559;-21.049174601795762, 55.71040291152662;SANS OBJET;La Réunion;La Réunion;La Réunion;366009.2;7671868.4;EPSG:2975;;-21.049174601795762;55.71040291152662;Numéro de rue;2001-08-20;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;9741233X;;;;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST;Non;;
9741323V;Collège Beauséjour;Collège;Public;Route Odon-Beauséjour;BP 104;;97438;97418;Sainte-Marie;974;28;04;;;0;0;0;02 62 93 18 80;02 62 93 18 89;https://etab.ac-reunion.fr/clg-beausejour;ce.9741323v@ac-reunion.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19974981300010;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13190;-20.924914426921077, 55.52842997669753;SANS OBJET;La Réunion;La Réunion;La Réunion;346972.5;7685460.3;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Marie;-20.924914426921077;55.52842997669753;Numéro de rue;2002-08-20;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740921H;;;9740088C;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD;Non;;
