Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
9740144N;Ecole primaire publique Bellevue;Ecole;Public;Lotissement Bellevue;;97412 BRAS PANON;97412;97402;Bras-Panon;974;28;04;1;1;;;;0262460755;;;ce.9740144N@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974002400084;;;-20.987980979800145, 55.632960065868225;SANS OBJET;La Réunion;La Réunion;La Réunion;357903.7;7678575.3;EPSG:2975;Circonscription d'inspection du 1er degré de Bras-Panon;-20.987980979800145;55.632960065868225;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740046G;;;9741305A;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740147S;Ecole primaire publique Marius Teza;Ecole;Public;64 lotissement Diore;;97440 ST ANDRE;97440;97409;Saint-André;974;28;04;1;1;;;;0262465282;;;ce.9740147S@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974009900185;;;-20.98426629554979, 55.619072448021676;SANS OBJET;La Réunion;La Réunion;La Réunion;356456.4;7678974.1;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-André;-20.98426629554979;55.619072448021676;Numéro de rue;1968-09-07;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741324W;;;9740010T;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740149U;Ecole élémentaire publique Paul Hermann;Ecole;Public;310 rue Lacaussade;BP 34;97440 ST ANDRE;97440;97409;Saint-André;974;28;04;0;1;;;;;;;ce.9740149U@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974009900250;;;-20.957321665914677, 55.656070140027275;SANS OBJET;La Réunion;La Réunion;La Réunion;360277.7;7681989.5;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-André;-20.957321665914677;55.656070140027275;Numéro de rue;1968-09-07;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741324W;;;9740010T;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740152X;Ecole élémentaire publique Petit Bazar;Ecole;Public;96 ruelle Clovis;;97440 ST ANDRE;97440;97409;Saint-André;974;28;04;0;1;;;;0262460100;;;ce.9740152X@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974009900045;;;-20.94570658129871, 55.64871626450781;SANS OBJET;La Réunion;La Réunion;La Réunion;359502.2;7683268.8;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-André;-20.94570658129871;55.64871626450781;Numéro de rue;1968-09-07;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740703W;;;9740010T;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740158D;Ecole primaire publique André Duchemann;Ecole;Public;39 allée cocos;;97470 ST BENOIT;97470;97410;Saint-Benoît;974;28;04;1;1;;;;0262509108;;;ce.9740158D@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974010700103;;;-21.070210658542443, 55.70160274476689;SANS OBJET;La Réunion;La Réunion;La Réunion;365113.7;7669532.4;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Benoît;-21.070210658542443;55.70160274476689;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740083X;;;9740060X;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740161G;Ecole primaire publique Julie Huet;Ecole;Public;15 chemin Morange;SAINTE ANNE;97437 ST BENOIT;97437;97410;Saint-Benoît;974;28;04;1;1;;;;0262510331;;;ce.9740161G@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974010700186;;;-21.083591634892606, 55.744220153986056;SANS OBJET;La Réunion;La Réunion;La Réunion;369553.3;7668086.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Benoît;-21.083591634892606;55.744220153986056;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741233X;;;9740060X;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740164K;Ecole élémentaire publique La Mare;Ecole;Public;16 rue Payet;;97414 ENTRE DEUX;97414;97403;Entre-Deux;974;28;04;0;1;;;;0262395007;;;ce.9740164K@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974003200061;;;-21.247241689132565, 55.46826912740518;SANS OBJET;La Réunion;La Réunion;La Réunion;341058.6;7649719.0;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 2;-21.247241689132565;55.46826912740518;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740027L;;;9741200L;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740173V;Ecole élémentaire publique Gabin Dambreville;Ecole;Public;21 rue du Stade;;97427 L ETANG SALE;97427;97404;L'Etang-Salé;974;28;04;0;1;;;;0262265448;;;ce.9740173V@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974004000031;;;-21.265437178229398, 55.37122843790931;SANS OBJET;La Réunion;La Réunion;La Réunion;331007.9;7647603.9;EPSG:2975;Circonscription d'inspection du 1er degré Avirons-l'étang-salé-Le Gol;-21.265437178229398;55.37122843790931;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741387P;;;9741362M;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740192R;Ecole primaire publique Bras des Chevrettes;Ecole;Public;479 chemin Bras des Chevrettes;;97440 ST ANDRE;97440;97409;Saint-André;974;28;04;1;1;;;;0262470002;;;ce.9740192R@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974009900151;;;-20.967018137869704, 55.624646681822796;SANS OBJET;La Réunion;La Réunion;La Réunion;357019.5;7680888.4;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-André;-20.967018137869704;55.624646681822796;Numéro de rue;1968-09-07;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741324W;;;9740010T;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740198X;Ecole primaire publique Maxime Fontaine;Ecole;Public;27 bis cité Cité S.M.A.;CHEMIN DE CEINTURE;97470 ST BENOIT;97470;97410;Saint-Benoît;974;28;04;1;1;;;;0262509085;;;ce.9740198X@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974010700095;;;-21.034954204522133, 55.71420013391489;SANS OBJET;La Réunion;La Réunion;La Réunion;366391.1;7673445.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Benoît;-21.034954204522133;55.71420013391489;Ville;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740083X;;;9740060X;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740199Y;Ecole primaire publique Raphael Elie;Ecole;Public;3 chemin du Cap;Sainte-Anne;97437 ST BENOIT;97437;97410;Saint-Benoît;974;28;04;1;1;;;;0262510318;;;ce.9740199Y@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974010700087;;;-21.079957191125548, 55.721582988210436;SANS OBJET;La Réunion;La Réunion;La Réunion;367198.3;7668470.3;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Benoît;-21.079957191125548;55.721582988210436;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741233X;;;9740060X;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740206F;Ecole élémentaire publique Champ Fleuri;Ecole;Public;46 ruelle Magnan;;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;0;1;;;;0262213487;;;ce.9740206F@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974011500155;;;-20.888372143700355, 55.46767201090785;SANS OBJET;La Réunion;La Réunion;La Réunion;340614.6;7689446.4;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.888372143700355;55.46767201090785;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740645H;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740208H;Ecole élémentaire publique cité Michel Debré;Ecole;Public;3 rue Bridet;;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;0;1;;;;0262280586;;;ce.9740208H@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974011500171;;;-20.892459570925187, 55.48569634724692;SANS OBJET;La Réunion;La Réunion;La Réunion;342494.0;7689011.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 2;-20.892459570925187;55.48569634724692;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740645H;;;9740062Z;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740221X;Ecole élémentaire publique Langevin;Ecole;Public;25 rue Gabriel Macé;;97480 ST JOSEPH;97480;97412;Saint-Joseph;974;28;04;0;1;;;;0262565471;;;ce.9740221X@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974012300126;;;-21.383635861086653, 55.647606420195366;SANS OBJET;La Réunion;La Réunion;La Réunion;359800.0;7634790.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Joseph;-21.383635861086653;55.647606420195366;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740468R;;;9740452Y;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740224A;Ecole élémentaire publique les Jacques;Ecole;Public;3 rue Amiral Courbet;LES JACQUES;97480 ST JOSEPH;97480;97412;Saint-Joseph;974;28;04;0;1;;;;0262565291;;;ce.9740224A@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974012300027;;;-21.376331026949707, 55.63195132495453;SANS OBJET;La Réunion;La Réunion;La Réunion;358169.8;7635584.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Joseph;-21.376331026949707;55.63195132495453;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740952S;;;9740452Y;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740242V;Ecole élémentaire publique  Ruisseau Blanc;Ecole;Public;3 chemin Charles Olivier Manes;La Montagne;97417 ST DENIS;97417;97411;Saint-Denis;974;28;04;0;1;;;;0262236014;;;ce.9740242V@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974011500270;;;-20.89490956383715, 55.410308919677966;SANS OBJET;La Réunion;La Réunion;La Réunion;334654.0;7688664.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.89490956383715;55.410308919677966;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740595D;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740250D;Ecole primaire publique Grand Coude;Ecole;Public;15 rue de l'Usine à Thé;GRAND-COUDE;97480 ST JOSEPH;97480;97412;Saint-Joseph;974;28;04;1;1;;;;0262561447;;;ce.9740250D@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974012300159;;;-21.294465120022867, 55.62751781298875;SANS OBJET;La Réunion;La Réunion;La Réunion;357631.1;7644643.2;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Joseph;-21.294465120022867;55.62751781298875;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740952S;;;9740452Y;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740252F;Ecole primaire publique Bezaves;Ecole;Public;35 rue Harry Truman;BEZAVES;97480 ST JOSEPH;97480;97412;Saint-Joseph;974;28;04;1;1;;;;0262375503;;;ce.9740252F@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974012300175;;;-21.352789789804422, 55.61133100250307;SANS OBJET;La Réunion;La Réunion;La Réunion;356008.7;7638171.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Joseph;-21.352789789804422;55.61133100250307;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740952S;;;9740452Y;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740264U;Ecole primaire de Piton A;Ecole;Public;Rue Julien Dupont;;97424 ST LEU;97424;97413;Saint-Leu;974;28;04;1;1;;;;0262343120;;;ce.9740264U@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974013100111;;;-21.21881568983523, 55.30578398011726;SANS OBJET;La Réunion;La Réunion;La Réunion;324161.0;7652694.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Leu;-21.21881568983523;55.30578398011726;Rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740546A;;;9740451X;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740272C;Ecole maternelle publique Albert Lougnon;Ecole;Public;7 rue des Acajous;;97421 ST LOUIS;97421;97414;Saint-Louis;974;28;04;1;0;;;;0262390327;;;ce.9740272C@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974014900097;;;-21.267559043633913, 55.44474598415362;SANS OBJET;La Réunion;La Réunion;La Réunion;338639.4;7647445.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 2;-21.267559043633913;55.44474598415362;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740011U;;;9740857N;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740276G;Ecole primaire publique Jean Hoarau;Ecole;Public;37 route Hubert Delisle;;97421 ST LOUIS;97421;97414;Saint-Louis;974;28;04;1;1;;;;0262397224;;;ce.9740276G@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974014900121;;;-21.254396655840157, 55.43123519821881;SANS OBJET;La Réunion;La Réunion;La Réunion;337222.9;7648889.2;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 2;-21.254396655840157;55.43123519821881;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740011U;;;9740857N;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740279K;Ecole primaire Albert Camus;Ecole;Public;Route de Bellevue;;97450 ST LOUIS;97450;97414;Saint-Louis;974;28;04;1;1;;;;0262261809;;;ce.9740279K@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974014900048;;;-21.25332059297584, 55.40331010595239;SANS OBJET;La Réunion;La Réunion;La Réunion;334323.6;7648979.3;EPSG:2975;Circonscription d'inspection du 1er degré Avirons-l'étang-salé-Le Gol;-21.25332059297584;55.40331010595239;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741189Z;;;9741362M;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
